Name,Region,Type,airport_dist(km),railway_dist(km),city_ state,images,description
Kufri,North ,Hill Station,20,100,"Shimla,Himachal Pradesh",https://www.weekendthrill.com/wp-content/uploads/2016/07/Kufri.jpg\,"Kufri is a picturesque hill station near Shimla, Himachal Pradesh. Surrounded by snow-capped peaks and dense forests, it offers stunning views and adventure activities like skiing and horse riding."
Wilson Hills,West,Hill Station,122,60,"Valsad,Gujrat",https://thrillblazers.in/wp-content/uploads/2020/07/dang4-870x555.jpg,"Wilson Hills is a tranquil hill station located in Dharampur, Gujarat. Known for its pleasant weather and lush greenery, it provides a serene escape with beautiful viewpoints and waterfalls."
Paithalmala,South,Hill Station,159,39,"Kannur,Kerala",https://www.theworldways.com/wp-content/uploads/2016/02/End-point-of-Paithalmala-Trek-from-Kudiyanmala.jpg,"Paithalmala is a hidden gem in Kannur, Kerala. With its misty hills, tea plantations, and refreshing climate, it offers a perfect retreat for nature lovers and trekkers."
Ponmudi,South,Hill Station,51,33,"Ooty,Kerala",https://www.keralatourism.org/images/picture/large/Ponmudi_2451.jpg,"Nestled near Thiruvananthapuram, Kerala, Ponmudi is a charming hill station surrounded by dense forests and tea gardens. Its winding roads and cool climate attract tourists seeking a peaceful getaway"
Ranipuram,South,Hill Station,125,55,"Thiruvananthapuram, Kerala",https://static2.tripoto.com/media/filter/nl/img/404678/TripDocument/1497893280_ranipuram_the_medows.jpg,"Ranipuram, situated in Kasaragod, Kerala, is a less-explored hill station blessed with verdant landscapes and biodiversity. Known for its challenging treks and abundant flora, it offers a serene escape for nature enthusiasts."
Manali,North,Hill Station,50,250,"Manali,Himachal Pradesh",https://www.tripsavvy.com/thmb/vVG53bOHSHze8Z3NUvcx8fDwq7A=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/GettyImages-930881934-5ae56fe48023b90036464e72.jpg,"Manali, a popular hill station in Himachal Pradesh, is a paradise for adventure seekers and nature lovers. Surrounded by snow-capped mountains, it offers opportunities for skiing, trekking, and river rafting, along with serene landscapes and picturesque valleys."
Gulmarg,North,Hill Station,56,290,"Baramulla district, Jammu and Kashmir",https://thetravellingsquid.com/wp-content/uploads/2014/02/Gulmarg-sky.jpg,"Gulmarg, nestled in Jammu and Kashmir, is a famous hill station renowned for its breathtaking beauty and winter sports. It is home to the highest golf course in the world and offers panoramic views of the Himalayas."
Dharamshala,North East,Hill Station,15,85,"Kangra, Himachal Pradesh",https://images.hindustantimes.com/rf/image_size_630x354/HT/p2/2018/08/20/Pictures/dharamshala-magnificent-backdrop-dhauladhar-mcleodganj-suburb-ranges_50cdda90-a433-11e8-8a41-d1a200222336.jpg,"Dharamshala is a serene town in Himachal Pradesh, known for its Tibetan culture and the residence of the Dalai Lama. It boasts stunning views of the Dhauladhar range and offers a blend of spirituality and natural beauty."
Lansdowne,North East,Hill Station,152,41,"Pauri Garhwal district, Uttarakhand",https://2.bp.blogspot.com/-8_-cfcgcdyQ/WA3i4P1lw5I/AAAAAAAAq9I/eLxzBV0wAxUStt6bbZ_sGPUFOiLJxT09ACLcB/s400/Lansdowne-1.jpg,"Lansdowne, located in Uttarakhand, is a quaint hill station with colonial-era architecture and lush green surroundings. Ideal for leisurely walks and relaxation, it provides a peaceful escape from city life."
Auli,North East,Hill Station,279,273,"Chamoli, Uttarakhand",https://www.tripsavvy.com/thmb/pQe2P8iKntTu62b1COcmAQJal2g=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/GettyImages-900381654-5bcb3e194cedfd0026d425f0.jpg,"Auli is a picturesque hill station in Chamoli, Uttarakhand, famous for its ski slopes and panoramic views of the snow-clad peaks. It offers a perfect winter retreat and attracts skiing enthusiasts from around the world."
Darjeeling,North East,Hill Station,96,62,"Darjeeling district, West Bengal",https://www.tripsavvy.com/thmb/EcWBrAvovcrbnz3p9cwqVKlGGho=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/GettyImages-498683275-5baa12584cedfd0025a79ace.jpg,"Darjeeling, in West Bengal, is famous for its tea gardens, toy train, and panoramic views of Mount Kanchenjunga. A charming hill town, it exudes a nostalgic charm and offers a unique blend of colonial architecture and natural beauty."
Jawaharlal Nehru Biological Park,East,Zoological Park,122,12,"Bokaro Steel City, Jharkhand",https://media.tripinvites.com/places/bokaro/jawaharlal-nehru-biological-park/green-topiary-450.webp,"Located in Bokaro Steel City, Jharkhand, this zoological park is a haven for wildlife enthusiasts. Home to a diverse range of animals and birds, it offers educational and recreational experiences for visitors."
Tata Steel Zoological Park,East,Zoological Park,2.9,6.9,"Jamshedpur, Jharkhand",https://assets.telegraphindia.com/telegraph/2020/Sep/1601212890_jam2.jpg,"Situated in Jamshedpur, Jharkhand, this zoo is part of the Tata Steel Works and houses a variety of animals in naturalistic enclosures, offering an enjoyable outing for families."
Nandankanan Zoological Park,East,Zoological Park,17.5,17,"Bhubaneswar, Odisha",https://images.newindianexpress.com/uploads/user/imagelibrary/2020/10/18/w900X450/Nandankanan_Zoological_Park_EPS.jpg?w=640&dpr=1.3,"Situated in Bhubaneswar, Odisha, this zoo is renowned for its white tigers and other rare species. It also has a botanical garden, making it an enriching experience for nature lovers."
Padmaja Naidu Himalayan Zoological Park,East,Zoological Park,81.9,2.8,"Darjeeling, West Bengal",https://static.trip101.com/paragraph_media/pictures/000/164/083/large/Padmaja_Naidu_Himalayan_Zoological_Park_in_Darjeeling.jpg?1496131256,"Located in Darjeeling, West Bengal, this high-altitude zoo focuses on the conservation of endangered species like the red panda. It offers stunning views of the Himalayas and provides a unique zoo experience"
National zooligical Park,North,Zoological Park,24,7, New Delhi,https://1.bp.blogspot.com/-l3pXc25_sMs/WSAFM8XhCuI/AAAAAAAABD0/sKTjIx0yvvIAd52QsIvP8zcceAd3av6mgCLcB/s640/National%2BZoological%2BPark%2BDelhi.jpg,"Situated in New Delhi, this zoo is one of the oldest in India, housing a wide range of animals and birds. It is a popular destination for families and school excursions."
Nehru Zoological Park,South West,Zoological Park,16.9,6.9," Hyderabad, Telangana",https://a.travel-assets.com/findyours-php/viewfinder/images/res70/75000/75502-Nehru-Zoological-Park.jpg,"Located in Hyderabad, Telangana, this large zoo features a diverse collection of animals from different continents, making it an educational and fun outing for visitors."
Mysore Zoo,South West,Zoological Park,170,5,"Mysore, Karnataka",https://www.royalorchidhotels.com/Images/ThingsToDO/17_05_2020_11_05_48Mysore%20Zoo.jpg,"Situated in Mysore, Karnataka, this well-maintained zoo is one of the oldest in India and is known for its lush greenery and wide variety of animal species, including some rare ones."
Arignar Anna Zoological Park,South East,Zoological Park,15,6,"Chennai, Tamil Nadu","http://www.veethi.com/vandalur-zoo-entrance-vandalur/PH32403""><img alt=""Vandalur Photos"" src=""http://www.veethi.com/watermark.php?path=images/city-images/fullsize/Vandalur-32403.jpeg"" alt=""vandalur-zoo-entrance-vandalur href=""http://www.veethi.com/vandalur/PL13799"">Vandalur</a>  is courtesy of veethi","Located in Chennai, Tamil Nadu, this large zoo is home to numerous animal species and offers a safari park experience, making it a popular attraction for both locals and tourists."
Gopalpur Zoo,North,Zoological Park,37,115,"Gopalpur, West Bengal",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/e5/57/56/the-zoo-animals-birds.jpg?w=1200&h=-1&s=1,"Situated in Gopalpur, West Bengal, this small yet enjoyable zoo showcases a range of animals and provides a pleasant environment for families to spend quality time together."
Gulabh Bagh and Zoo,North West,Zoological Park,22,2,"Udaipur, Rajasthan",https://udaipurtourism.co.in/images/places-to-visit/headers/gulab-bagh-and-zoo-udaipur-tourism-vintage-car-museum-udaipur-indian-tourism-entry-fee-timings-holidays-reviews-header.jpg,"Located in Udaipur, Rajasthan, this park combines a beautiful garden with a small zoo, creating a delightful experience for visitors with its serene ambiance and animal exhibits."
Chattbir Zoo,North West,Zoological Park,12,315,"Zirakpur, Punjab",https://www.holidify.com/images/cmsuploads/compressed/Pair_of_White_Tigers_20190116150559.jpg,"Situated in Zirakpur, Punjab, this well-maintained zoo houses a diverse collection of animals, providing an opportunity for people to learn about wildlife and conservation."
Pt. G.B Pant High Altitude Zoo,North,Zoological Park,68.6,34.7,"Nainital, Uttarakhand",https://ik.imagekit.io/rkw3fpbem/wp-content/uploads/2017/10/Pt.-G.B.-Pant-High-Altitude-Zoo.jpg,"Located in Nainital, Uttarakhand, this unique zoo is set amidst the beautiful Nainital hills and offers a chance to see Himalayan wildlife up close."
Alipore Zoo,North East,Zoological Park,22,7,"Kolkata, West Bengal",https://th.bing.com/th/id/OIP.evyF31OUQ0VD_wQGx7X_nAHaD8?pid=ImgDet&rs=1,"Located in Kolkata, West Bengal, this historic zoo is one of the most visited in India and showcases a wide range of animals, making it a favorite spot for families and school groups."
Indira Gandhi Zoological Park,South,Zoological Park,7,4,"Visakhapatnam, Andhra Pradesh",https://th.bing.com/th/id/OIP.GWF0x-tH4Bq3waRKfZyuxgHaEo?pid=ImgDet&rs=1,"Situated in Visakhapatnam, Andhra Pradesh, this zoo is known for its natural setting and diverse animal enclosures, providing an enjoyable experience for visitors of all ages."
Agonda beach,West,Beach,70,38,Goa,https://storage.googleapis.com/karmagroup-d66ca.appspot.com/karmagroupcdn/2019/04/ce2b292b-goa-min.jpg,"A serene beach in Goa, India, with its golden sands and palm-fringed shoreline, perfect for relaxation and enjoying the tranquility of nature."
Palolem Beach,East,Beach,67,1.78,"Canacona, Goa",https://images.app.goo.gl/8z6ov4ym8TJ2ixJA9,"Another beautiful beach in Goa, known for its crescent-shaped bay, clear waters, and vibrant beach shacks, offering a laid-back atmosphere for tourists."
Radhanagar Beach,South East,Beach,63,9,"Havelock Island, Andaman and Nicobar Islands",https://images.app.goo.gl/i9gdTjUdc9Zufuaw9,"Located in Havelock Island, Andaman and Nicobar Islands, this pristine beach is a true tropical paradise with its white sands and crystal-clear waters, ideal for swimming and beach activities."
Cavelossim beach,West,Beach,33,15,"Cavelossim, Goa",https://images.app.goo.gl/6zUarsFKDURJkiY18,"A peaceful beach in Goa, offering a relaxing ambiance with its clean shores and scenic beauty, perfect for unwinding and sunbathing."
Puri Beach,East,Beach,60,3," Puri, Odisha",https://images.app.goo.gl/6719JvEdjDz7Jh9H6,"Situated in Puri, Odisha, this bustling beach attracts pilgrims and tourists alike, with its religious significance and vibrant atmosphere during festivals."
Candolim Beach,West,Beach,46,21,"Candolim, Goa",https://images.app.goo.gl/qfctmUjSveH9EAv7A," Located in Goa, this popular beach is known for its water sports activities and bustling nightlife, making it a favorite destination for party-goers."
Dhanushkodi Beach,West,Beach,142,23.4,"Dhanushkodi, Tamil Nadu",https://images.app.goo.gl/BA9jgu3JvhAUj4HS9,"A remote and serene beach in Tamil Nadu, India, known for its picturesque landscapes and the remains of a historical town destroyed by a cyclone."
Colva Beach,West,Beach,24,8,"Colva, Goa",https://images.app.goo.gl/itv28PiZEyrF9sbP6,"A beautiful beach in Goa, offering a blend of natural beauty and modern amenities, making it a favorite destination for both locals and tourists."
Utorda Beach,West,Beach,18,12,"Utorda, Goa",https://images.app.goo.gl/SLSWzEst4vdkv98C6,"A quiet and secluded beach in Goa, perfect for those seeking a peaceful escape and enjoying the beauty of the Arabian Sea."
Marari Beach,West,Beach,60,16,"Mararikulam, Kerala",https://images.app.goo.gl/74fJUp5yoBpXwwWbA," Located in Mararikulam, Kerala, this tranquil beach is less crowded, providing a serene atmosphere for travelers seeking solitude and relaxation."
Elephanta Beach,East,Beach,63,15,"Havelock Island, Andaman and Nicobar Islands",https://images.app.goo.gl/vDFVPz1iKnMgLRL39,"Situated in Havelock Island, Andaman and Nicobar Islands, this beach is known for its vibrant coral reefs and underwater marine life, making it a popular spot for snorkeling and diving."
The Konark Sun Temple,East,Temple,64,35.3,"Konark, Odisha",https://images.app.goo.gl/XQPdEFC1MQEWzQvJA,"Located in Konark, Odisha, this UNESCO World Heritage site is an architectural marvel, dedicated to the Sun God, featuring intricate stone carvings and exquisite craftsmanship."
Somnath Temple,West,Temple,125,1.5,"Prabhas Patan, Gujarat",https://images.app.goo.gl/CgCms7qEVv8ZXWG97,"Situated in Prabhas Patan, Gujarat, this ancient temple is one of the 12 Jyotirlingas and holds great religious significance for devotees of Lord Shiva."
Kedarnath Temple,North,Temple,228,110,"Kedarnath, Uttarakhand",https://images.app.goo.gl/kXeM9pK9W9yQi1L37,"Located in Kedarnath, Uttarakhand, this sacred Hindu temple is dedicated to Lord Shiva and is one of the Chota Char Dham pilgrimage sites in India."
Ramnathaswamy Temple,South,Temple,163,1.3,"Rameswaram, Tamil Nadu",https://images.app.goo.gl/9tSi9hyCfy4bLkuu6,"Situated in Rameswaram, Tamil Nadu, this historic temple is famous for its architectural grandeur and is one of the Char Dham pilgrimage sites."
Vaishno Devi Mandir,North,Temple,50,17,"Katra, Jammu and Kashmir",https://images.app.goo.gl/rduVfTyNYYQSLdon7,"Located in Katra, Jammu and Kashmir, this revered Hindu temple is dedicated to Goddess Vaishno Devi and is a significant pilgrimage destination."
Siddhivinayak Temple,West,Temple,11.9,2,"Mumbai, Maharashtra",https://images.app.goo.gl/NoGhu3TWUbjCgrg48,"Situated in Mumbai, Maharashtra, this iconic temple is dedicated to Lord Ganesha and is one of the most popular and visited temples in the city."
Badrinath Temple,North,Temple,311,318,"Badrinath, Uttarakhand",https://images.app.goo.gl/LHNn3GsnB9KH9Qp9A,"Located in Badrinath, Uttarakhand, this sacred temple is one of the Char Dham pilgrimage sites and is dedicated to Lord Vishnu."
Gangotri Temple,North,Temple,260,250,"Gangotri, Uttarakhand",https://images.app.goo.gl/G9m1ar8GbYLhZXQq9," Situated in Gangotri, Uttarakhand, this revered temple marks the origin of the River Ganges and is an important pilgrimage site for Hindus"
Kashi Vishwanath Temple,North East,Temple,25,6,"Varanasi, Uttar Pradesh",https://images.app.goo.gl/xsWiJZCC3rb8bpWw5,"Located in Varanasi, Uttar Pradesh, this ancient temple is dedicated to Lord Shiva and is one of the holiest shrines in Hinduism."
Lord Jagannath Temple,South East,Temple,60,28,"Puri, Odisha",https://images.app.goo.gl/hqMGgE2PyiGi2G3w8,"Situated in Puri, Odisha, this famous temple is dedicated to Lord Jagannath and hosts the annual Rath Yatra festival, attracting millions of devotees."
Yamunotri Temple,North,Temple,210,175,"Yamunotri, Uttarakhand",https://images.app.goo.gl/mo8PDsF1tJEs3ewu7,"Located in Yamunotri, Uttarakhand, this sacred shrine is one of the Char Dham pilgrimage sites and is dedicated to Goddess Yamuna."
Meenakshi Temple,South,Temple,17,3,"Madurai, Tamil Nadu",https://images.app.goo.gl/6JXesvuCuyP4Q1vC9,"Situated in Madurai, Tamil Nadu, this magnificent temple is dedicated to Goddess Meenakshi (Parvati) and Lord Sundareswarar (Shiva), known for its stunning architecture and gopurams (tower gateways)."
Amarnath Cave Temple,North,Temple,95,315,"Amarnath, Jammu and Kashmir",https://images.app.goo.gl/Ug1VbcYfgng8HnVJ9,"Located in Amarnath, Jammu and Kashmir, this significant pilgrimage site houses an ice Shiva Linga that forms naturally every year during the summer months."
Tirupati Balaji,South East,Temple,15,26,"Tirupati, Andhra Pradesh",https://images.app.goo.gl/EVzKx5KN1PJ5bMpL6," Situated in Tirupati, Andhra Pradesh, this ancient temple is dedicated to Lord Venkateswara and is one of the most visited religious sites in India."
Golden Temple,North,Temple,13,2,"Amritsar, Punjab",https://images.app.goo.gl/jeDsBZVEGRtHtA1r9,"Located in Amritsar, Punjab, the Golden Temple is the holiest Gurdwara for Sikhs, renowned for its stunning architecture and the sacred Golden Temple tank."
Kanchipuram Temples,South,Temple,75,1,"Kanchipuram, Tamil Nadu",https://images.app.goo.gl/Vq3KbaFjJmXE2Dpt5," Kanchipuram, Tamil Nadu, is famous for its numerous ancient temples, including Kailasanathar Temple, Ekambareswarar Temple, and Varadharaja Perumal Temple, showcasing intricate Dravidian architecture."
Khajuraho Temple,North,Temple,2,63,"Khajuraho, Madhya Pradesh",https://images.app.goo.gl/F6ZH7okoy9VkxNT6A,"Situated in Khajuraho, Madhya Pradesh, these UNESCO World Heritage temples are renowned for their intricate and explicit sculptures depicting various facets of human life."
Akshardham Temple,North,Temple,18,7,Delhi,https://images.app.goo.gl/D2Wu9jE9u3bPFyFRA," Located in Delhi, this magnificent temple complex is dedicated to Lord Swaminarayan and showcases traditional Hindu architecture and cultural exhibitions."
Ranakpur Temple,North West,Temple,96,27,"Ranakpur, Rajasthan",https://images.app.goo.gl/RKmcDZB73E3RDue88," Situated in Ranakpur, Rajasthan, this awe-inspiring Jain temple is famous for its intricate marble carvings and impressive architecture."
Dwarkadhish Temple,West,Temple,45,1,"Dwarka, Gujarat",https://images.app.goo.gl/euujUehHKCHBK6Fy6,"Located in Dwarka, Gujarat, this sacred Hindu temple is dedicated to Lord Krishna and is one of the Char Dham pilgrimage sites."
Laxminarayan Temple,North,Temple,13,16,Delhi,https://images.app.goo.gl/hVATkCfgN1Kj9UQ29,"Situated in Delhi, this modern Hindu temple is dedicated to Goddess Lakshmi and Lord Narayana (Vishnu), representing a blend of traditional and contemporary architectural styles."
Iskcon Temple,North East,Temple,20,12,"Mumbai, Maharashtra",https://images.app.goo.gl/ABHwUMZ37dCdZT7z7,"The International Society for Krishna Consciousness has temples worldwide, with the one in Mumbai, Maharashtra, being a popular spiritual destination, dedicated to Lord Krishna and Radha."
Sree Padmanabhaswamy Temple,South,Temple,7,1,"Thiruvananthapuram, Kerala",https://images.app.goo.gl/LDzQzLLq9WHA6iYj9," Located in Thiruvananthapuram, Kerala, this ancient temple is dedicated to Lord Vishnu and is renowned for its architectural beauty and immense wealth."
Gomateshwara Temple,South West,Temple,66,18,"Shravanabelagola, Karnataka",https://images.app.goo.gl/sRVrqr4F8TbeKahp6,"Situated in Shravanabelagola, Karnataka, this massive monolithic statue of Lord Bahubali is an important Jain pilgrimage site and a symbol of non-violence and renunciation."
Virupaksha Temple,South West,Temple,350,13,"Hampi, Karnataka",https://images.app.goo.gl/2cE7NAezdutHEpe58," Located in Hampi, Karnataka, this ancient temple is dedicated to Lord Virupaksha (Shiva) and is one of the most important and well-preserved structures in the Hampi ruins."
